NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Locations
NCT07164014,"The Impact of the Mediterranean Diet on Anthropometric Indices, Lipid Profiles, Energy Metabolism Signaling Proteins and Inflammatory Cytokines in Psychiatric Patients With Metabolic Syndrome",https://clinicaltrials.gov/study/NCT07164014,COMPLETED,Metabolic Syndrome (MetS)|Psychiatric Disorders|Mediterranean Diet|Inflammatory Cytokines|Energy Metabolism|Lipid Profiles,OTHER: Mediterranean diet|OTHER: Hospital diet,King Saud University,,INTERVENTIONAL,"Mental Health Hospital, Riyadh, 36445, Saudi Arabia"
NCT07164001,Twins With Specific vs. Traditional Fetal Growth Charts: A Randomized Controlled Trial,https://clinicaltrials.gov/study/NCT07164001,NOT_YET_RECRUITING,Twin Pregnancy,OTHER: Twin-Specific Growth Chart Interpretation|OTHER: Singleton-Based Growth Chart Interpretation,Indiana University,,INTERVENTIONAL,
NCT07163988,CCS-AMI Staging Diagnosis by High-sensitivity Cardiac Troponin-I,https://clinicaltrials.gov/study/NCT07163988,RECRUITING,Acute Myocardial Infarction (AMI),,Indiana University,Indiana University School of Medicine|Synergy Cardiovascular Research Center,OBSERVATIONAL,"Medical Imaging Research Institute, Indianapolis, Indiana, 46202, United States|Synergy Cardiovascular Research Center, Rajkot, Gujarat, India"
NCT07163975,Complete Pulpotomy and Root Canal Treatment Patients With Irreversible Pulpitis With Type 2 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT07163975,RECRUITING,Type 2 Diabetes Mellitus (T2DM)|Irreversible Pulpitis,PROCEDURE: complete pulpotomy|PROCEDURE: Root canal treatment,Postgraduate Institute of Dental Sciences Rohtak,,INTERVENTIONAL,"PGIDS Rohtak, Rohtak, Haryana, 124001, India"
NCT07163962,THE B-BABIES STUDY: An Observational Study of Group B Vitamins in Preterm Infants,https://clinicaltrials.gov/study/NCT07163962,NOT_YET_RECRUITING,Vitamin B-12 Deficiency,,Norfolk and Norwich University Hospitals NHS Foundation Trust,Quadram Institute Bioscience,OBSERVATIONAL,"Norfolk and Norwich University Hospital NHS Foundation Trust, Norwich, United Kingdom"
NCT07163949,Balance And Foot Posture In Children With Autism Spectrum Disorder,https://clinicaltrials.gov/study/NCT07163949,COMPLETED,Autism Disorder|Balance|Posture|Foot Anomalies,"OTHER: Performance-based tests (such as TUG, foot posture measurements, Tandem Gait test) will be administered to children with ASD.",Gulhane School of Medicine,,OBSERVATIONAL,"University of Health Sciences, Ankara, 06018, Turkey (Türkiye)"
NCT07163936,Analysis of the Influence of Dialysis Fluid Composition on Vascular Calcification in Patients With Chronic Kidney Disease Undergoing Hemodialysis,https://clinicaltrials.gov/study/NCT07163936,NOT_YET_RECRUITING,Vascular Calcification|Hemodialysis|Cardiovascular Disease (CKD),DEVICE: Citrate dialysate with magensium supplementation|DEVICE: Acetate dialysate,Hospital Clinic of Barcelona,,INTERVENTIONAL,
NCT07163923,MIND Diet in Relation to Malnutrition and Depression in AD,https://clinicaltrials.gov/study/NCT07163923,COMPLETED,Alzheimer Disease (AD)|Healthy Controls Group - Age and Sex-matched,,Abant Izzet Baysal University,,OBSERVATIONAL,"Bolu Abant İzzet Baysal University, Faculty of Health Sciences, Bolu, Turkey (Türkiye)"
NCT07163910,Homoharringtonine Plus Androgen Deprivation Therapy in the Neoadjuvant Treatment of Prostate Cancer: A Single-Arm Clinical Study,https://clinicaltrials.gov/study/NCT07163910,NOT_YET_RECRUITING,Prostate Cancer,DRUG: homoharringtonine|PROCEDURE: Radical prostatectomy,baotai Liang,"The Affiliated Tumor Hospital of Nantong University, Nantong, Jiangsu Province, China|Subei People's Hospital of Jiangsu Province|The First People Hospital of Nantong City",INTERVENTIONAL,
NCT07163897,Validation of a Portable Ankle Arthrometer,https://clinicaltrials.gov/study/NCT07163897,NOT_YET_RECRUITING,"Chronic Ankle Instability, CAI|Ankle Sprain|Healthy",DEVICE: Cobra Ankle Arthrometer,University of Virginia,,OBSERVATIONAL,"UVA Department of Student Health and Wellness, Charlottesville, Virginia, 22903, United States"
NCT07163884,The Effect of Fascial Treatment in Patients With Adhesive Capsulitis,https://clinicaltrials.gov/study/NCT07163884,NOT_YET_RECRUITING,Adhesive Capsulitis|Ultrasonography|Fascia|Treatment (ProudMe),OTHER: electrotherapy treatment|OTHER: Facsial therapy,Hasan Kalyoncu University,,INTERVENTIONAL,"Hasan Kalyoncu University, Gaziantep, Gaziantep, (505) 090-5846, Turkey (Türkiye)"
NCT07163871,"Breastfeeding, Maternal Functioning, and Resilience",https://clinicaltrials.gov/study/NCT07163871,COMPLETED,Postpartum Women,"BEHAVIORAL: Postpartum hygiene, breast milk, and breastfeeding education have been provided for new mothers.",Medine Yönder,Kahramanmaras Sutcu Imam University,INTERVENTIONAL,"Kahramanmaraş Sütçü Imam Univercity, Kahramanmaraş, 46100, Turkey (Türkiye)"
NCT07163858,Comparison of Hemodynamic Management by Using Postural Mobilization Versus Noradrenaline Only in Beating-Heart Coronary Artery Bypass Grafting,https://clinicaltrials.gov/study/NCT07163858,NOT_YET_RECRUITING,Open-heart Coronary Bypass Grafting,PROCEDURE: passive leg raising for hemodynamic management during open-heart coronary bypass grafting|PROCEDURE: Use of Noradrenaline only in control group,Infirmerie Protestante de Lyon,,INTERVENTIONAL,
NCT07163845,Assessment of Chikungunya Virus Seroprevalence Before VLA1553 Vaccination in the Municipalities Selected for Participation in the VLA1553 Pilot Vaccination Strategy in Brazil,https://clinicaltrials.gov/study/NCT07163845,NOT_YET_RECRUITING,Chikungunya Virus Infection,BIOLOGICAL: Live-attenuated CHIKV vaccine VLA1553,Valneva Austria GmbH,Fundação Butantan|Coalition for Epidemic Preparedness Innovations,OBSERVATIONAL,
NCT07163832,Retrospective Study of the Cohort of Transgender Patients Who Began Medical Support Before the Age of 18,https://clinicaltrials.gov/study/NCT07163832,RECRUITING,Endocrinology,,"University Hospital, Strasbourg, France",,OBSERVATIONAL,"Service de pédiatrie 1 - CHU de Strasbourg - France, Strasbourg, 67091, France"
NCT07163819,Effect of Probiotic Intervention on Travel-Related Health Conditions During Short-Term Overseas Travel,https://clinicaltrials.gov/study/NCT07163819,RECRUITING,Healthy Adults,OTHER: Probiotic|OTHER: Placebo,Universiti Sains Malaysia,Tsinghua University Science and Technology,INTERVENTIONAL,"Tsinghua University Science and Technology, Haidian, Beijing Municipality, 100080, China|Universiti Sains Malaysia, George Town, Pulau Pinang, 11800, Malaysia"
NCT07163806,Volumetric Parameter of 18F-FDG PET/CT in Characterizing Thyroid Incidentalomas,https://clinicaltrials.gov/study/NCT07163806,NOT_YET_RECRUITING,Thyroid Incidentalomas,DIAGNOSTIC_TEST: PET/CT with 18-FDG,Fatma Abelzaher Mahmoud Ahmed,,OBSERVATIONAL,
NCT07163793,Pilot Study of Reduced Venetoclax Exposure,https://clinicaltrials.gov/study/NCT07163793,RECRUITING,Acute Myeloid Leukemia in Remission,DRUG: Azacitidine|DRUG: Decitabine|DRUG: Venetoclax,Northwell Health,,INTERVENTIONAL,"Zuckerberg Cancer Center, New Hyde Park, New York, 11042, United States"
NCT07163780,The Effect of the HEP Approach in Infants With Down Syndrome,https://clinicaltrials.gov/study/NCT07163780,NOT_YET_RECRUITING,Down Syndrome (DS),BEHAVIORAL: HEP Intervention|BEHAVIORAL: Traditional Therapy,Izgi Miray Demirbag,,INTERVENTIONAL,
NCT07163767,Development and Validation of a Novel Myocardial Infarction Prediction Model Based on ECG-AI,https://clinicaltrials.gov/study/NCT07163767,NOT_YET_RECRUITING,Acute Myocardial Infarction (AMI)|Electrocardiography|Artifical Intelligence,,Guangdong Provincial People's Hospital,,OBSERVATIONAL,"Guangdong Provincial People's Hospital, Guangzhou, Guangdong, 510080, China"
NCT07163754,Use of the SiDTM v2.0 Algorithm to Assist Embiyologists in Sperm Selection During ICSI Procedures,https://clinicaltrials.gov/study/NCT07163754,NOT_YET_RECRUITING,Male Fertility|Testicular|Sperm Parameters in Fertile and Infertile Men|Sperm Selection,DIAGNOSTIC_TEST: Automated Sperm Selection|DIAGNOSTIC_TEST: Conventional Sperm Selection,"Instituto Valenciano de Infertilidad, IVI VALENCIA",IVF 2.0 Limited,INTERVENTIONAL,
NCT07163741,Validity and Reliability of the 6-Minute Pegboard and Ring Test in Patients With Coronary Artery Disease,https://clinicaltrials.gov/study/NCT07163741,NOT_YET_RECRUITING,Coronary Artery Disease (CAD),,Gazi University,,OBSERVATIONAL,"Gazi University Faculty of Health Sciences Department of Cardiopulmonary Physiotherapy and Rehabilitation, Ankara, Çankaya 06490, Ankara, Turkey (Türkiye)"
NCT07163728,Leptin: A Marker for AML Chemo-Sensitivity,https://clinicaltrials.gov/study/NCT07163728,RECRUITING,AML|Adult,,Fujian Medical University Union Hospital,,OBSERVATIONAL,"Fujian Medical University Union Hospital, Fuzhou, Fujian, 350001, China"
NCT07163715,Incidence and Factors of Functional Decline After Emergency Department Discharge in Older Adults With Falls,https://clinicaltrials.gov/study/NCT07163715,NOT_YET_RECRUITING,Fall|Daily Activities|Functional Decline|Older Adults (65 Years and Older),,Ege University,,OBSERVATIONAL,
NCT07163702,Efficacy and Safety of Xinglou Chengqi Granule for Acute Ischemic Stroke,https://clinicaltrials.gov/study/NCT07163702,NOT_YET_RECRUITING,Acute Ischemic Stroke,DRUG: High-dose Xinglou Chengqi granules|DRUG: Low-dose Xinglou Chengqi granules and placebo,"Dongzhimen Hospital, Beijing",,INTERVENTIONAL,"Dongzhimen Hospital, Beijing University of Chinese Medicine, Richmond, British Columbia, V7E 6J1, Canada"
NCT07163689,TIPS for Complicated Portal Hypertension Related to Porto-Sinusoidal Vascular Disease,https://clinicaltrials.gov/study/NCT07163689,RECRUITING,TIPS|Portal Hypertension|Porto-Sinusoidal Vascular Disease|Refractory Ascite|Esophageal Varices|Gastrointestinal Hemorrhage,,"Centre Hospitalier Universitaire, Amiens","Groupe Hospitalier Pitie-Salpetriere|CHU Rennes|AP-HP - HU BEAUJON|CHU Toulouse|CHRU TOURS|Centre Hospitalier Universitaire de Besancon|Hospices Civils de Lyon, France|APHP - HOPITAL AVICENNE|University Hospital, Montpellier|Saint-Luc University Hospital|CHU Poitiers|CHU NICE|CH HENRI MONDOR|Saint Antoine University Hospital|University Hospital, Rouen|AP-HP Paul Brousse University Hospital|Nantes University Hospital|Centre Hospitalier Universitaire Dijon|University Hospital, Bordeaux|University Hospital, Brest|University Hospital, Clermont-Ferrand",OBSERVATIONAL,"CHU Amiens Picardie, Amiens, Picardie, 80054, France"
NCT07163676,Is There a Response of Glaucoma to Baduanjin Exercise in Elders?,https://clinicaltrials.gov/study/NCT07163676,RECRUITING,Glaucoma,BEHAVIORAL: Baduanjin exercise,Cairo University,,INTERVENTIONAL,"Cairo University, Giza, Dokki, Egypt"
NCT07163663,HIFT Training in People With Parkinson's Disease,https://clinicaltrials.gov/study/NCT07163663,COMPLETED,Neuro-Degenerative Disease,OTHER: Hight intensity functional trainning,University of Valencia,,INTERVENTIONAL,"Ismael Vargas Villanueva, Ibiza Town, Balearic Islands, 07800, Spain|Ismael Vargas Villanueva, Elche, Valencia, 03200, Spain"
NCT07163650,Randomized Controlled Trial Evaluating Anti-Obesity Medications 6 Months After Metabolic Surgery,https://clinicaltrials.gov/study/NCT07163650,RECRUITING,Obesity|Weight Loss|GLP-1 Receptor Agonist|Metabolic Surgery,DRUG: Efsubaglutide Alfa Injection|BEHAVIORAL: Diet and exercise guidelines,The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School,,INTERVENTIONAL,"Nanjing Drum Tower Hospital, Nanjing, Jiangsu, China"
NCT07163637,A Study on the Effect of Limosilactobacillus Reuteri DSM 17648 Supplement in Healthy Adults Reporting Upper Gastrointestinal Discomfort,https://clinicaltrials.gov/study/NCT07163637,NOT_YET_RECRUITING,Healthy Participants|Upper Gastrointestinal Discomfort,DIETARY_SUPPLEMENT: Limosilactobacillus reuteri DSM 17648|DIETARY_SUPPLEMENT: Placebo,Novozymes A/S,Citruslabs,INTERVENTIONAL,
NCT07163624,UBT251 Injection Phase II (Type 2 Diabetes Mellitus) Study,https://clinicaltrials.gov/study/NCT07163624,ACTIVE_NOT_RECRUITING,Type 2 Diabetes Mellitus (T2DM),DRUG: UBT251 Injection 2.0 mg and UBT251 Injection Placebo|DRUG: UBT251 Injection 4.0 mg (ID 0.5 mg) and UBT251 Injection Placebo|DRUG: UBT251 Injection 4.0 mg (ID 1.0 mg) and UBT251 Injection Placebo|DRUG: UBT251 Injection 6.0 mg and UBT251 Injection Placebo|DRUG: Semaglutide Injection (Ozempic®),"The United Bio-Technology (Hengqin) Co., Ltd.",,INTERVENTIONAL,"The United Bio-Technology (Hengqin) Co., Ltd., Zhuhai, Guangdong, 519000, China"
NCT07163611,Obinutuzumab Induced Decreases of PLA2R Antibodies in Membranous Nephropathy: a Pilot Study,https://clinicaltrials.gov/study/NCT07163611,NOT_YET_RECRUITING,Membranous Nephropathy - PLA2R Induced,DRUG: Obinutuzumab administration,Radboud University Medical Center,Hoffmann-La Roche,INTERVENTIONAL,"Department of Nephrology, Radboud University Medical Center, Nijmegen, Netherlands"
NCT07163598,PNB Anesthesia Improves Older Patients' Postoperative Early Recovery Outcomes After Total Hip Arthroplasty,https://clinicaltrials.gov/study/NCT07163598,COMPLETED,Total Hip Arthroplasty (THA)|Femoral Neck Fractures,OTHER: No Intervention: Observational Cohort,RenJi Hospital,,OBSERVATIONAL,"RenjiH, Shanghai, Shanghai Municipality, 200127, China"
NCT07163585,Comparison of Oral Brivaracetam Versus Levetiracetam as Monotherapy in Epilepsy,https://clinicaltrials.gov/study/NCT07163585,COMPLETED,Epilepsy,DRUG: Brivaracetam|DRUG: Levetiracetam,"RESnTEC, Institute of Research",,INTERVENTIONAL,"The Children's Hospital and Institute of Child Health, Multan, Punjab Province, 66000, Pakistan"
NCT07163572,Comparison of Intravenous Brivaracetam Versus Levetiracetam in the Management of Status Epilepticus,https://clinicaltrials.gov/study/NCT07163572,COMPLETED,Status Epilepticus,DRUG: Intravenous brivaracetam|DRUG: Intravenous levetiracetam,Muhammad Aamir Latif,,INTERVENTIONAL,"The Children's Hospital and Institute of Child Health, Multan, Punjab Province, 66000, Pakistan"
NCT07163559,Coping Skills for Migraine: A 6-Month RCT,https://clinicaltrials.gov/study/NCT07163559,ENROLLING_BY_INVITATION,Migraine,BEHAVIORAL: coping skills training,Hacettepe University,,INTERVENTIONAL,"Hacettepe University, Ankara, Altındağ, 06230, Turkey (Türkiye)"
NCT07163546,Person-Centered Lifestyle Redesign in Chronic Low Back Pain,https://clinicaltrials.gov/study/NCT07163546,ENROLLING_BY_INVITATION,"Low Back Pain, Chronic",BEHAVIORAL: Lifestyle intervention,Hacettepe University,,INTERVENTIONAL,"Hacettepe University, Ankara, Altındağ, 06230, Turkey (Türkiye)"
NCT07163533,Combined Effect of Kendall Exercises With Wearable Vibrotactile Feedback Sensor in Forward Head Posture,https://clinicaltrials.gov/study/NCT07163533,NOT_YET_RECRUITING,Neck Pain,OTHER: wearble vibrotactile feedback sensor and kendel exercises|OTHER: kendel exercises,Riphah International University,,INTERVENTIONAL,"Foundation University School of Health Sciences, Rawalpindi, Punjab Province, 44000, Pakistan"
NCT07163520,Elastographic Assessment of Gastrocnemius Muscle Structure in Children With Idiopathic Toe Walking,https://clinicaltrials.gov/study/NCT07163520,COMPLETED,Idiopathic Toe-walking,,Fatih Sultan Mehmet Training and Research Hospital,,OBSERVATIONAL,"Fatih Sultan Mehmet Training and Research Hospital, Istanbul, Istanbul, Turkey (Türkiye)"
NCT07163507,Immune Response Under Immunotherapy in Lung Cancer: Study of Sputum Samples,https://clinicaltrials.gov/study/NCT07163507,NOT_YET_RECRUITING,Lung Cancer (NSCLC)|Lung Cancer (Non-Small Cell),,"University Hospital, Tours",,OBSERVATIONAL,"university hospital, Tours, Tours, 37044, France"
NCT07163494,Occlusal Sensitivity to Articulating Foils in Patients With Temporomandibular Disorders and Healthy Controls,https://clinicaltrials.gov/study/NCT07163494,NOT_YET_RECRUITING,Temporomandibular Disorder (TMD)|Chronic Pain,,University of Zagreb,Croatian Science Foundation,OBSERVATIONAL,
NCT07163481,"A Trial to Evaluate Sacituzumab Govitecan in Combination With Endocrine Therapy in Patients With HR-positive, HER2-negative Metastatic Breast Cancer Progressed on CDK4/6 Inhibitors",https://clinicaltrials.gov/study/NCT07163481,NOT_YET_RECRUITING,HR-positive HER2-negative Metastatic Breast Cancer,DRUG: Sacituzumab Govitecan + Fulvestrant|DRUG: Sacituzumab Govitecan + Anastrozole / Exemestane,Hunan Cancer Hospital,Gilead Sciences,INTERVENTIONAL,"Hunan Cancer Hospital, Changsha, Hunan, 410000, China"
NCT07163468,Neuromusculoskeletal Alterations After ACL Injury,https://clinicaltrials.gov/study/NCT07163468,COMPLETED,Anterior Cruciate Ligament Injuries|Sports Injury|Neurocognitive Function,,Duzce University,,OBSERVATIONAL,"Duzce University, Düzce, Düzce, 81620, Turkey (Türkiye)"
NCT07163455,AI-Assisted Dietary Intervention for Weight Maintenance,https://clinicaltrials.gov/study/NCT07163455,NOT_YET_RECRUITING,Overweight or Obese Adults,BEHAVIORAL: Balanced Diet|BEHAVIORAL: Artificial Intelligence-Assisted Time-Restricted Eating with Evening Caloric Restriction,Harbin Medical University,,INTERVENTIONAL,"Shenzhen People's Hospital, Shenzhen, Guangdong, 518020, China|Peking University Shenzhen Hospital, Shenzhen, Guangdong, 518036, China|The First Affiliated Hospital of Harbin Medical University, Harbin, Heilongjiang, 150001, China|Harbin Medical University, Harbin, Heilongjiang, 150081, China|The Second Affiliated Hospital of Harbin Medical University, Harbin, Heilongjiang, 150086, China|The Second Affiliated Hospital of Xi'an Jiaotong University, Xi'an, Shaanxi, 710004, China|The Affiliated Hospital of Qingdao University, Qingdao, Shandong, 266000, China|Weifang People's Hospital, Weifang, Shandong, 261041, China|Air Force Hospital of Western Theater Command,PLA, Chengdu, Sichuan, 610021, China|Chengdu Seventh People's Hospital, Chengdu, Sichuan, 610213, China"
NCT07163442,Bioidentical Hormone Replacement Therapy in Postmenopausal Women,https://clinicaltrials.gov/study/NCT07163442,NOT_YET_RECRUITING,Hormon Replacement Terapy,,Gaziosmanpasa Research and Education Hospital,,OBSERVATIONAL,
NCT07163429,"Efficacy of Flurbiprofen Spray for Postoperative Sore Throat Following Double-Lumen Endobronchial Intubation: A Randomized, Double-blind, Controlled Trial",https://clinicaltrials.gov/study/NCT07163429,NOT_YET_RECRUITING,Post Operative Sore Throat|Hoarseness,DRUG: Flurbiprofen 8.75 MG|DRUG: Saline spray,"Kittitorn Supphapipat, MD",,INTERVENTIONAL,"Maharaj Nakorn Chiang Mai Hospital, Faculty of Medicine, Chiang Mai University, Chiang Mai, Mueang, 50200, Thailand"
NCT07163416,"(Italian Migraine Registry, I-GRAINE-NEW)",https://clinicaltrials.gov/study/NCT07163416,RECRUITING,Migraine Disorders,,IRCCS San Raffaele Roma,,OBSERVATIONAL,"Head, Irccs San Raffaele Roma S.r.l. - Unità per la cura e la ricerca su cefalee e dolore - Dipartimento di Neurologia, Via di Val di Cannuta 250, 00166 Roma (RM) - Italy, Roma, Roma, 00166, Italy"
NCT07163403,First in Human Pilot Study to Assess the Safety and Efficacy of Dendritic Cells Loaded With Frameshift Derived Neopeptides for the Prevention of Cancer in of Lynch Syndrome Carriers,https://clinicaltrials.gov/study/NCT07163403,NOT_YET_RECRUITING,Lynch Syndrome,BIOLOGICAL: Autologous Tolerogenic Dendritic cells,Fundacion Clinic per a la Recerca Biomédica,,INTERVENTIONAL,"Laura Burunat, Barcelona, Barcelona, 08036, Spain"
NCT07163390,Iron Deficiency Anemia in the Second and Third Trimester of Pregnancy,https://clinicaltrials.gov/study/NCT07163390,NOT_YET_RECRUITING,"Anemia, Iron Deficiency|Pregnancy Anemia",COMBINATION_PRODUCT: Sideral Folico,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,,INTERVENTIONAL,
NCT07163377,Effect of Art Therapy on Cognitive and Hand Functions of Alzheimer's Patients,https://clinicaltrials.gov/study/NCT07163377,NOT_YET_RECRUITING,Alzheimer Disease,OTHER: Experimental Group,Fenerbahce University,,INTERVENTIONAL,"Fenerbahçe Üniversitesi, Ataşehir, Istanbul, 34734, Turkey (Türkiye)"
NCT07163364,A Study to Evaluate the Effects and Safety of Hydroxocobalamin in Participants With Combined Methylmalonic Academia (cblC Type),https://clinicaltrials.gov/study/NCT07163364,NOT_YET_RECRUITING,Methylmalonic Acidemia (MMA),DRUG: Hydroxocobalamin Chloride Injection,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",,INTERVENTIONAL,
NCT07163351,Prefabricated CAD CAM Allogeneic Ring Blocks in the Anterior Maxilla With Immediate Implantation,https://clinicaltrials.gov/study/NCT07163351,COMPLETED,Prefabricated|CAD|CAM|Allogeneic Ring Blocks|Anterior Maxilla|Immediate Implantation,OTHER: CAD/CAM allogenic bone block,Tanta University,,INTERVENTIONAL,"Cairo University, Cairo, 12613, Egypt"
NCT07163338,Prevalence and Consequences of Antiphospholipid Syndrome in Patients Aged 65 and Over With Ischemic Strokes (IS),https://clinicaltrials.gov/study/NCT07163338,NOT_YET_RECRUITING,Antiphospholipid Syndrome,OTHER: Collectio nof blood,CHU de Reims,,INTERVENTIONAL,"Damien JOLLY, Reims, France"
NCT07163325,EP102 Safety and Efficacy in METTL3 Modulation in Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT07163325,RECRUITING,Advanced Solid Tumor (Phase 1),DRUG: EP102,Epics Therapeutics,,INTERVENTIONAL,"Institut Jules Bordet, Brussels, 1070, Belgium|Cliniques universitaires Saint-Luc, Brussels, 1200, Belgium|Masaryk Memorial Cancer Institute, Brno, 656 53, Czechia|Olomouc University Hospital, Olomouc, 77900, Czechia|Netherlands Cancer Institute (NKI), Amsterdam, 1066 CX, Netherlands|Hospital Universitari Vall d'Hebron - Vall d'Hebron Institute of Oncology, Barcelona, 8035, Spain|START Madrid - CIOCC, Madrid, 28050, Spain|Hospital Universitario de Santiago de Compostela, Santiago de Compostela, 15706, Spain"
NCT07163312,Knee Pain Relief After Endovenous Treatment for Lower Limb Varicose Veins: A Prospective Observational Study,https://clinicaltrials.gov/study/NCT07163312,NOT_YET_RECRUITING,"Varicose Veins of Lower Limb|Chronic Venous Insufficiency, CVI|Knee Pain Chronic|Knee Osteoarthritis",PROCEDURE: Endovenous Ablation for Varicose Veins,Chengdu University of Traditional Chinese Medicine,,OBSERVATIONAL,
